Product Title,Price,Sku,CrossSell,Upsell,Upsell Category,Show i product page in upsell cat,Sale Price,Description,ShortDescription,Preview description text,Shipping info,Featured,Technical documentation name,Technical documentation value,Images,User Manual File name,Main Category,Child Category,Color,speed,weight,frame type,main use,usage,seat width,frame color,chair size,drive range,overall width,base width open,brand,Seat Size,Seat Height,Backrest Height,Back Angle,Controller Position,Footplates,Arm Height,Seat Width,Seat Depth,Companion Controller,Axles,Legrests,Companion Brakes,Model Edition,Bearing,Battery,Armrest,Seat Extensions,Product Size,Caster Size,Item Option,Seat Type,Bed Width,Bed Length,Control Type,Bed End Style,Bed End Finish
Afikim Afiscooter S3,5526,FTS3114,"FTS4114,FTC4073,FT00245,FTM3002","ASS4041,ASS4042,ASS4053,ASS4054,ASBR134,ASBR147,ASS4014,ASS4066,ASS4055,ASBR181,2000098",,,4165,The Red Dot Award winning Afikim Afiscooter S3 uses ergonomic design for comfort and a shock absorbing steel frame with a full suspension for a smooth ride. Wide-width wheels  assure stability and the high 5-inch ground clearance means that uneven and grassy terrain is no problem. The 28-mile extended driving range allows you to be on the road much longer so you can get more things done during the day. The weight capacity is up to 450 pounds and there is a full lighting system with brake lights and LED headlights that dim when you stop. There is a battery level indicator and more.,The Afikim Afiscooter S3 has an award-winning design and it’s easy to see why. The ergonomic design is comfortable and the extended battery range means you can spend extra time getting more things done between battery charging. The orthopedic seat is fully adjustable and the full suspension  means a more comfortable ride.,Programmable electronic controller | LCD control screen and LED Headlights | Fully adjustable tiller,Free Shipping,yes,Overall Length|Overall Width|Width with wide wheels|Overall Height w/o canopy|Overall Height with canopy|Ground Clearance|Weight with batteries|Weight w/o batteries|Canopy Weight|Wide wheels weight|Travel Range|Weight capacity|Maximum Speed|Max. climbing angle|Turning radius|Seating|Tires type|Front tires size|Rear tires size|Battery type|Power unit|Color,"61""|27""|35""|49""|65""|5""|337 lbs.|234 lbs.|26 lbs.|22 lbs.|28 miles|450 lbs.|9.3 mph|0.2|56""|18""|Pneumatic|3"" x 10""|3.5"" x 10""|2, 12V 73A/h|Rear Wheel Drive, 24V DC motor|Metallic Silver","AfiScooter_s3_1.jpg,AfiScooter_s3_2.jpg,AfiScooter_s3_3.jpg,AfiScooter_s3_4.jpg,AfiScooter_s3_5.jpg,AfiScooter_s3_6.jpg,AfiScooter_s3_7.jpg,AfiScooter_s3_8.jpg,AfiScooter_s3_9.jpg",AfiScooter-S-User-Manual.pdf,Mobility Scooters,"3 Wheel Mobility Scooters, Outdoor Mobility Scooters, Heavy Duty Mobility Scooters",,9.3,450,Rigid,56,28,18,Silver,,28,27,,Afikim,,,,,,,,"18"" - Standard",,,,,,Standard Wheels,,,,,,,,,,,,,
Afikim Afiscooter S3,5940,FTS3115,,,,,4480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33"" +  $315",,,,,,Standard Wheels,,,,,,,,,,,,,
Afikim Afiscooter S3,5796,FTS3116,,,,,4392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18"" - Standard",,,,,,Rear Wide Wheels + $227,,,,,,,,,,,,,
Afikim Afiscooter S3,6224,FTS3117,,,,,4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33"" + $329",,,,,,Rear Wide Wheels + $227,,,,,,,,,,,,,
Afikim Afiscooter S4,5850,FTS4114,"FTS3114,FTC4073,FT00245,FTM3002","ASS4041,ASS4042,ASS4053,ASS4054,ASBR134,ASBR147,ASS4014,ASS4066,ASS4055,ASBR181,2000098",,,4489,"The Afikim Afiscooter S4 is a quality piece of work from the elegant appearance to the impressive performance. A driving range of up to 28 miles means you can be out doing things for a longer time before you have to stop and recharge the battery. The top speed is more than 9 mph and the ground clearance of five inches means you can ride with confidence on grassy or uneven terrain. The weight capacity is also impressive, up to 450 pounds. The Afikim Afiscooter S4 features an ergonomic design and an orthopedic seat that is fully adjustable for superlative user comfort.","The Afikim Afiscooter S4 is impressive both in appearance and performance. It features an amazing 28 mile driving range before you have to recharge the battery, a top speed of over 9 mph and a weight capacity of 450 pounds. The 5-inch ground clearance gives a smooth ride on uneven terrain.",Programmable electronic controller | LCD control screen and LED Headlights | Fully adjustable tiller,Free Shipping,yes,Overall Length|Overall Width|Width with wide wheels|Overall Height w/o canopy|Overall Height with canopy|Ground Clearance|Weight with batteries|Weight w/o batteries|Canopy Weight|Wide wheels weight|Travel Range|Weight capacity|Maximum Speed|Max. climbing angle|Turning radius|Seating|Tires type|Front tires size|Rear tires size|Battery type|Power unit|Color,"65""|27""|35""|49""|65""|5""|342 lbs.|238 lbs.|26 lbs.|22 lbs.|28 miles|450 lbs.|9.3 mph|0.2|90""|18""|Pneumatic|4.1/3.5X6""|3.5X10""|2, 12V 73A/h|Rear Wheel Drive, 24V DC motor|Metallic Silver, Blue, Dark Grey","AfiScooter_s4_1.jpg,AfiScooter_s4_2.jpg,AfiScooter_s4_3.jpg,AfiScooter_s4_4.jpg,AfiScooter_s4_5.jpg,AfiScooter_s4_6.jpg,AfiScooter_s4_7.jpg,AfiScooter_s4_8.jpg,AfiScooter_s4_9.jpg",AfiScooter-S-User-Manual.pdf,Mobility Scooters,"4 Wheel Mobility Scooters, Outdoor Mobility Scooters, Heavy Duty Mobility Scooters",Silver,9.3,450,Rigid,90,28,18,,,28,27,,Afikim,,,,,,,,"18"" - Standard",,,,,,Standard Wheels,,,,,,,,,,,,,
Afikim Afiscooter S4,6282,FTS4115,,,,,4824,,,,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,,,"33"" + $335",,,,,,Standard Wheels,,,,,,,,,,,,,
Afikim Afiscooter S4,5850,FTS4118,,,,,4489,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,"18"" - Standard",,,,,,Standard Wheels,,,,,,,,,,,,,
Afikim Afiscooter S4,6282,FTS4119,,,,,4824,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,"33"" + $335",,,,,,Standard Wheels,,,,,,,,,,,,,
Afikim Afiscooter S4,5850,FTS4122,,,,,4489,,,,,,,,,,,,Dark Grey,,,,,,,,,,,,,,,,,,,,"18"" - Standard",,,,,,Standard Wheels,,,,,,,,,,,,,
Afikim Afiscooter S4,6282,FTS4123,,,,,4824,,,,,,,,,,,,Dark Grey,,,,,,,,,,,,,,,,,,,,"33"" + $335",,,,,,Standard Wheels,,,,,,,,,,,,,
